Service;Th�matique;Producteur;Nom;Nom technique;URL d'acces Geoportail;URL d'acces Geoplateforme;Statut de licence;Etat de publication;Statut  G�oplateforme;Date actualisation de la donn�e;Remarque
WFS;administratif;IGN;ADMIN EXPRESS COG 2018 - region;ADMINEXPRESS-COG.2018:region;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2019 - arrondissement_departemental;ADMINEXPRESS-COG.2019:arrondissement_departemental;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2019 - arrondissement_municipal;ADMINEXPRESS-COG.2019:arrondissement_municipal;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2019 - chef_lieu;ADMINEXPRESS-COG.2019:chef_lieu;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2019 - commune;ADMINEXPRESS-COG.2019:commune;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2019 - departement;ADMINEXPRESS-COG.2019:departement;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2019 - epci;ADMINEXPRESS-COG.2019:epci;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2019 - region;ADMINEXPRESS-COG.2019:region;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2020 - arrondissement_departemental;ADMINEXPRESS-COG.2020:arrondissement_departemental;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2020 - arrondissement_municipal;ADMINEXPRESS-COG.2020:arrondissement_municipal;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2020 - canton;ADMINEXPRESS-COG.2020:canton;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2020 - chef_lieu;ADMINEXPRESS-COG.2020:chef_lieu;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2020 - chflieu_entite_rattachee;ADMINEXPRESS-COG.2020:cheflieu_entite_rattachee;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2020 - commune;ADMINEXPRESS-COG.2020:commune;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2020 - departement;ADMINEXPRESS-COG.2020:departement;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2020 - entite_rattachee;ADMINEXPRESS-COG.2020:entite_rattachee;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2020 - epci;ADMINEXPRESS-COG.2020:epci;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2020 - region;ADMINEXPRESS-COG.2020:region;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2021 - arrondissement;ADMINEXPRESS-COG.2021:arrondissement;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2021 - arrondissement_municipal;ADMINEXPRESS-COG.2021:arrondissement_municipal;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2021 - canton;ADMINEXPRESS-COG.2021:canton;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2021 - chflieu_arrondissement_municipal;ADMINEXPRESS-COG.2021:cheflieu_arrondissement_municipal;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2021 - chflieu_commune;ADMINEXPRESS-COG.2021:cheflieu_commune;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2021 - chflieu_commune_associee_ou_deleguee;ADMINEXPRESS-COG.2021:cheflieu_commune_associee_ou_deleguee;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2021 - collectivite_territoriale;ADMINEXPRESS-COG.2021:collectivite_territoriale;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2021 - commune;ADMINEXPRESS-COG.2021:commune;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2021 - commune_associee_ou_deleguee;ADMINEXPRESS-COG.2021:commune_associee_ou_deleguee;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2021 - departement;ADMINEXPRESS-COG.2021:departement;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2021 - epci;ADMINEXPRESS-COG.2021:epci;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2021 - region;ADMINEXPRESS-COG.2021:region;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2022 - arrondissement;ADMINEXPRESS-COG.2022:arrondissement;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2022 - arrondissement_municipal;ADMINEXPRESS-COG.2022:arrondissement_municipal;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2022 - canton;ADMINEXPRESS-COG.2022:canton;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2022 - chflieu_arrondissement_municipal;ADMINEXPRESS-COG.2022:cheflieu_arrondissement_municipal;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2022 - chflieu_commune;ADMINEXPRESS-COG.2022:cheflieu_commune;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2022 - chflieu_commune_associee_ou_deleguee;ADMINEXPRESS-COG.2022:cheflieu_commune_associee_ou_deleguee;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2022 - collectivite_territoriale;ADMINEXPRESS-COG.2022:collectivite_territoriale;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2022 - commune;ADMINEXPRESS-COG.2022:commune;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2022 - commune_associee_ou_deleguee;ADMINEXPRESS-COG.2022:commune_associee_ou_deleguee;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2022 - departement;ADMINEXPRESS-COG.2022:departement;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2022 - epci;ADMINEXPRESS-COG.2022:epci;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2022 - region;ADMINEXPRESS-COG.2022:region;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2023 - arrondissement;ADMINEXPRESS-COG.2023:arrondissement;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2023 - arrondissement_municipal;ADMINEXPRESS-COG.2023:arrondissement_municipal;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2023 - canton;ADMINEXPRESS-COG.2023:canton;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2023 - cheflieu_arrondissement_municipal;ADMINEXPRESS-COG.2023:cheflieu_arrondissement_municipal;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2023 - cheflieu_commune;ADMINEXPRESS-COG.2023:cheflieu_commune;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2023 - cheflieu_commune_associee_ou_deleguee;ADMINEXPRESS-COG.2023:cheflieu_commune_associee_ou_deleguee;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2023 - collectivite_territoriale;ADMINEXPRESS-COG.2023:collectivite_territoriale;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2023 - commune;ADMINEXPRESS-COG.2023:commune;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2023 - commune_associee_ou_deleguee;ADMINEXPRESS-COG.2023:commune_associee_ou_deleguee;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2023 - departement;ADMINEXPRESS-COG.2023:departement;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2023 - epci;ADMINEXPRESS-COG.2023:epci;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2023 - region;ADMINEXPRESS-COG.2023:region;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2024 - arrondissement;ADMINEXPRESS-COG.2024:arrondissement;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2024 - arrondissement_municipal;ADMINEXPRESS-COG.2024:arrondissement_municipal;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2024 - canton;ADMINEXPRESS-COG.2024:canton;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2024 - cheflieu_arrondissement_municipal;ADMINEXPRESS-COG.2024:cheflieu_arrondissement_municipal;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2024 - cheflieu_commune;ADMINEXPRESS-COG.2024:cheflieu_commune;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2024 - cheflieu_commune_associee_ou_deleguee;ADMINEXPRESS-COG.2024:cheflieu_commune_associee_ou_deleguee;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2024 - collectivite_territoriale;ADMINEXPRESS-COG.2024:collectivite_territoriale;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2024 - commune;ADMINEXPRESS-COG.2024:commune;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2024 - commune_associee_ou_deleguee;ADMINEXPRESS-COG.2024:commune_associee_ou_deleguee;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2024 - departement;ADMINEXPRESS-COG.2024:departement;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2024 - epci;ADMINEXPRESS-COG.2024:epci;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG 2024 - region;ADMINEXPRESS-COG.2024:region;;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;21/03/2025;
WFS;administratif;IGN;ADMIN EXPRESS COG - arrondissement;ADMINEXPRESS-COG.LATEST:arrondissement;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A actualiser;14/06/2024;
WFS;administratif;IGN;ADMIN EXPRESS COG - arrondissement_municipal;ADMINEXPRESS-COG.LATEST:arrondissement_municipal;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A actualiser;14/06/2024;
WFS;administratif;IGN;ADMIN EXPRESS COG - canton;ADMINEXPRESS-COG.LATEST:canton;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A actualiser;14/06/2024;
WFS;administratif;IGN;ADMIN EXPRESS COG - cheflieu_arrondissement_municipal;ADMINEXPRESS-COG.LATEST:cheflieu_arrondissement_municipal;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A actualiser;14/06/2024;
WFS;administratif;IGN;ADMIN EXPRESS COG - cheflieu_commune;ADMINEXPRESS-COG.LATEST:cheflieu_commune;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A actualiser;14/06/2024;
WFS;administratif;IGN;ADMIN EXPRESS COG - cheflieu_commune_associee_ou_deleguee;ADMINEXPRESS-COG.LATEST:cheflieu_commune_associee_ou_deleguee;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A actualiser;14/06/2024;
WFS;administratif;IGN;ADMIN EXPRESS COG - collectivite_territoriale;ADMINEXPRESS-COG.LATEST:collectivite_territoriale;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A actualiser;14/06/2024;
WFS;administratif;IGN;ADMIN EXPRESS COG - commune;ADMINEXPRESS-COG.LATEST:commune;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A actualiser;14/06/2024;
WFS;administratif;IGN;ADMIN EXPRESS COG - commune_associee_ou_deleguee;ADMINEXPRESS-COG.LATEST:commune_associee_ou_deleguee;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A actualiser;14/06/2024;
WFS;administratif;IGN;ADMIN EXPRESS COG - departement;ADMINEXPRESS-COG.LATEST:departement;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A actualiser;14/06/2024;
WFS;administratif;IGN;ADMIN EXPRESS COG - epci;ADMINEXPRESS-COG.LATEST:epci;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A actualiser;14/06/2024;
WFS;administratif;IGN;ADMIN EXPRESS COG - region;ADMINEXPRESS-COG.LATEST:region;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A actualiser;14/06/2024;
WFS;administratif;IGN;ADMIN EXPRESS COG CARTO - arrondissement;ADMINEXPRESS-COG-CARTO.LATEST:arrondissement;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;14/06/2024;
WFS;administratif;IGN;ADMIN EXPRESS COG CARTO - arrondissement_municipal;ADMINEXPRESS-COG-CARTO.LATEST:arrondissement_municipal;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;14/06/2024;
WFS;administratif;IGN;ADMIN EXPRESS COG CARTO - canton;ADMINEXPRESS-COG-CARTO.LATEST:canton;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;14/06/2024;
WFS;administratif;IGN;ADMIN EXPRESS COG CARTO - cheflieu_arrondissement_municipal;ADMINEXPRESS-COG-CARTO.LATEST:chflieu_arrondissement_municipal;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;14/06/2024;
WFS;administratif;IGN;ADMIN EXPRESS COG CARTO - cheflieu_commune;ADMINEXPRESS-COG-CARTO.LATEST:chflieu_commune;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;14/06/2024;
WFS;administratif;IGN;ADMIN EXPRESS COG CARTO - cheflieu_commune_associee_ou_deleguee;ADMINEXPRESS-COG-CARTO.LATEST:chflieu_commune_associee_ou_deleguee;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;https://data.geopf.fr/wfs/ows?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities;;Publie;A jour;14/06/2024;
